,0
471,0.08713186
472,0.05768805
473,0.10203008
474,0.05387275
475,0.21764186
476,0.061095275
477,0.115497634
478,0.10195774
479,0.122244716
480,0.108661644
481,0.08416805
482,0.14386454
483,0.093955696
484,0.114482984
485,0.012773
486,0.057502277
487,0.027669206
488,0.10830755
489,0.09943094
490,0.07904057
491,0.114692
492,0.15459639
493,0.2790712
494,0.20532352
495,0.071775556
496,0.14802113
497,0.069250986
498,0.16545087
499,0.12319445
500,0.68212956
501,0.0728668
502,0.06140929
503,0.023025706
504,0.14536744
505,0.10840761
506,0.17568399
507,0.10045434
508,0.0700858
509,0.093597755
510,0.15351638
511,0.11235031
